                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.81927,                 1.3404,                0.71651,                0.98598,              0.0009802
                      1,                0.56723,                0.67576,                0.90343,                0.97352,              0.0009604
                      2,                0.51205,                0.56827,                 0.9891,                      1,              0.0009406
                      3,                0.49749,                0.69429,                0.88941,                0.95794,              0.0009208
                      4,                 0.4875,                0.50133,                 0.9891,                      1,               0.000901
                      5,                0.48268,                0.48245,                      1,                      1,              0.0008812
                      6,                0.48206,                0.47651,                      1,                      1,              0.0008614
                      7,                0.47699,                0.47368,                      1,                      1,              0.0008416
                      8,                0.47507,                0.47107,                      1,                      1,              0.0008218
                      9,                 0.4756,                 0.4959,                0.99377,                      1,               0.000802
                     10,                0.47798,                 0.4782,                      1,                      1,              0.0007822
                     11,                0.48022,                0.50154,                0.99065,                      1,              0.0007624
                     12,                0.47757,                0.48979,                0.99221,                      1,              0.0007426
                     13,                 0.4743,                0.47321,                      1,                      1,              0.0007228
                     14,                0.47292,                0.47267,                      1,                      1,               0.000703
